state_fips,state_name,population
1,Alabama,5024279
2,Alaska,733391
4,Arizona,7151502
5,Arkansas,3011524
6,California,39538223
8,Colorado,5773714
9,Connecticut,3605944
10,Delaware,989948
12,Florida,21538187
13,Georgia,10711908
15,Hawaii,1455271
16,Idaho,1839106
17,Illinois,12812508
18,Indiana,6785528
19,Iowa,3190369
20,Kansas,2937880
21,Kentucky,4505836
22,Louisiana,4657757
23,Maine,1362359
24,Maryland,6177224
25,Massachusetts,7029917
26,Michigan,10077331
27,Minnesota,5706494
28,Mississippi,2961279
29,Missouri,6154913
30,Montana,1084225
31,Nebraska,1961504
32,Nevada,3104614
33,New Hampshire,1377529
34,New Jersey,9288994
35,New Mexico,2117522
36,New York,20201249
37,North Carolina,10439388
38,North Dakota,779094
39,Ohio,11799448
40,Oklahoma,3959353
41,Oregon,4237256
42,Pennsylvania,13002700
44,Rhode Island,1097379
45,South Carolina,5118425
46,South Dakota,886667
47,Tennessee,6910840
48,Texas,29145505
49,Utah,3271616
50,Vermont,643077
51,Virginia,8631393
53,Washington,7705281
54,West Virginia,1793716
55,Wisconsin,5893718
56,Wyoming,576851
